"data_id","type","date","longitude","latitude","country","ISO","ID_0","ID_1","FOI","R0_1","R0_2","R0_3","altitude","DayTemp_const_term","EVI_const_term","MIR_const_term","NightTemp_const_term","RFE_const_term","DayTemp_Re0","EVI_Re0","MIR_Re0","NightTemp_Re0","RFE_Re0","DayTemp_Im0","EVI_Im0","MIR_Im0","NightTemp_Im0","RFE_Im0","DayTemp_Re1","EVI_Re1","MIR_Re1","NightTemp_Re1","RFE_Re1","DayTemp_Im1","EVI_Im1","MIR_Im1","NightTemp_Im1","RFE_Im1","travel_time","TSI","aedes_gen","population","Shape_Area","log_pop_den","birth_rate","mean_age","sd_age","Z"
1,"serology","1993",146.259,-20.08,"Australia","AUS",15,7,0.002946913,1.16158556946392,1.11819400318966,1.35202923750219,125.2791531,16503.46963,135.206459,79.66592527,7877.50178,891.4531154,1654.45217,4.434265735,3.769866369,1383.741629,418.4872828,-550.6105929,8.405531737,-4.991809716,198.1649085,75.55092609,-365.146198,-0.067530513,-0.175972703,-180.7975806,142.070865,-50.9370547,1.144917395,-0.795817098,38.53826686,35.31754027,253.6260319,45064.90977,19.25124229,4404819,1738788.22219007,1.26222361853997,0.0131436201285154,38.1816740382208,22.9120908438372,0.00640596072181406
2,"serology","2014-2016",90.74920167,22.58495667,"Bangladesh","BGD",20,1,0.001084883,1.03497274048101,1.03111876535997,1.28751467957217,6.047555537,14352.72368,157.8090819,45.53495354,10418.67727,2405.850867,-11.7785311,-4.588571242,1.687814831,-1135.655585,-1318.783759,598.5169372,-7.821491134,6.405592922,-216.4195479,-280.0841917,-681.8049639,-12.04332296,1.455137729,-769.6035977,56.41095073,-92.58756315,-7.594266866,1.40380125,-193.3067494,-74.45021333,221.3616703,71614.12,19.97570025,6383673,10275.7009100593,6.43332533343655,0.0186037555360925,27.947300747256,19.2194534860762,0.00166615052980682
3,"serology","2014-2016",90.01959167,22.26684667,"Bangladesh","BGD",20,1,0.003200637,1.12276255956637,1.09326938512387,1.33157137527262,6.047555537,14352.72368,157.8090819,45.53495354,10418.67727,2405.850867,-11.7785311,-4.588571242,1.687814831,-1135.655585,-1318.783759,598.5169372,-7.821491134,6.405592922,-216.4195479,-280.0841917,-681.8049639,-12.04332296,1.455137729,-769.6035977,56.41095073,-92.58756315,-7.594266866,1.40380125,-193.3067494,-74.45021333,221.3616703,71614.12,19.97570025,6383673,10275.7009100593,6.43332533343655,0.0186037555360925,27.947300747256,19.2194534860762,0.00491550059616504
4,"serology","2014-2016",89.92668833,22.14467167,"Bangladesh","BGD",20,1,0.00248199,1.09041590082746,1.07194395672911,1.31405291126427,6.047555537,14352.72368,157.8090819,45.53495354,10418.67727,2405.850867,-11.7785311,-4.588571242,1.687814831,-1135.655585,-1318.783759,598.5169372,-7.821491134,6.405592922,-216.4195479,-280.0841917,-681.8049639,-12.04332296,1.455137729,-769.6035977,56.41095073,-92.58756315,-7.594266866,1.40380125,-193.3067494,-74.45021333,221.3616703,71614.12,19.97570025,6383673,10275.7009100593,6.43332533343655,0.0186037555360925,27.947300747256,19.2194534860762,0.0038118110003339
5,"serology","2014-2016",90.23453333,22.12925667,"Bangladesh","BGD",20,1,0.002170406,1.07715585533113,1.06276638892419,1.30720435196244,6.047555537,14352.72368,157.8090819,45.53495354,10418.67727,2405.850867,-11.7785311,-4.588571242,1.687814831,-1135.655585,-1318.783759,598.5169372,-7.821491134,6.405592922,-216.4195479,-280.0841917,-681.8049639,-12.04332296,1.455137729,-769.6035977,56.41095073,-92.58756315,-7.594266866,1.40380125,-193.3067494,-74.45021333,221.3616703,71614.12,19.97570025,6383673,10275.7009100593,6.43332533343655,0.0186037555360925,27.947300747256,19.2194534860762,0.00333328396407346
6,"serology","2014-2016",91.81983333,22.37256667,"Bangladesh","BGD",20,2,0.042164313,4.38388907411678,2.52616728508149,3.25051363520104,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.064755455144832
7,"serology","2014-2016",91.05164167,22.86283,"Bangladesh","BGD",20,2,0.001683356,1.05742517985699,1.04850398758567,1.29751592181014,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00258527831227284
8,"serology","2014-2016",91.02952,22.83834333,"Bangladesh","BGD",20,2,0.002020025,1.07093107023896,1.05835186902055,1.30407574158877,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00310233059599333
9,"serology","2014-2016",91.81024167,22.338445,"Bangladesh","BGD",20,2,0.030619509,3.25846718033519,2.05298754171551,2.59795114163653,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.0470250811772097
10,"serology","2014-2016",90.96718167,23.33085833,"Bangladesh","BGD",20,2,0.002575348,1.09448159125896,1.07470186011203,1.31619702264398,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00395518911683282
11,"serology","2014-2016",90.97755667,23.25756333,"Bangladesh","BGD",20,2,0.003561601,1.13988157446615,1.10406354498272,1.34118909492263,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.005469864854653
12,"serology","2014-2016",91.18109,22.9525,"Bangladesh","BGD",20,2,0.001862109,1.06452086607739,1.0537266083162,1.30092041395294,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.0028598050636871
13,"serology","2014-2016",91.460713,23.042815,"Bangladesh","BGD",20,2,0.000837863,1.02632638403542,1.02398821182153,1.28407139675867,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.001286780124083
14,"serology","2014-2016",91.05295833,22.89805,"Bangladesh","BGD",20,2,0.002410556,1.08733351017726,1.06983622920485,1.31244047435283,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00370210350473647
15,"serology","2014-2016",91.04909833,23.05107333,"Bangladesh","BGD",20,2,0.002556951,1.09367709366414,1.07415809689202,1.31577124512859,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00392693522097783
16,"serology","2014-2016",92.05017667,22.01031,"Bangladesh","BGD",20,2,0.001566272,1.05287201327212,1.04509060857046,1.29538581901377,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00240546208450275
17,"serology","2014-2016",91.95263667,22.01035167,"Bangladesh","BGD",20,2,0.003133537,1.11964273363086,1.09126893301184,1.32984103264441,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00481244920670642
18,"serology","2014-2016",90.897755,23.67188,"Bangladesh","BGD",20,2,0.001200718,1.03915576731349,1.03447160472746,1.28927291270848,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00184404855809206
19,"serology","2014-2016",90.91304333,23.50959,"Bangladesh","BGD",20,2,0.001804305,1.06220746915189,1.0520362460258,1.29979972800543,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00277103036150728
20,"serology","2014-2016",92.18755333,21.47397333,"Bangladesh","BGD",20,2,0.0005646,1.01721352257441,1.01613100231691,1.28077652079433,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.000867106028142143
21,"serology","2014-2016",91.460713,23.042815,"Bangladesh","BGD",20,2,0.001234335,1.04038474053356,1.03544573516691,1.28979974920468,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00189567715063201
22,"serology","2014-2016",91.460713,23.042815,"Bangladesh","BGD",20,2,0.000794906,1.02486180933884,1.02275090593773,1.28351671848981,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00122080726958264
23,"serology","2014-2016",91.43743667,22.51457333,"Bangladesh","BGD",20,2,0.001266388,1.04156275384035,1.03637500054061,1.29030890924046,12.64826067,14664.89925,162.9827341,45.93750651,10191.79358,2463.050431,56.02522485,-11.30756645,1.085055447,-996.0616896,-1338.716321,467.4347845,-7.751687458,4.995182533,-196.5107152,-82.7495651,-583.416992,-11.65413526,1.046958021,-700.4202243,-113.907407,-151.7038485,-2.804248178,-0.301698602,-228.4663249,-220.4425225,87.76361693,74628.33172,22.0199987,22309197,31432.7077877396,6.56631325961776,0.0186037555360925,27.947300747256,19.2194534860762,0.00194490377039829
24,"serology","2014-2016",90.23523167,24.69175833,"Bangladesh","BGD",20,3,0.001169674,1.03802682040259,1.03357246739949,1.28879297171205,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00179637154863821
25,"serology","2014-2016",90.74592667,24.137055,"Bangladesh","BGD",20,3,0.001900258,1.06605739371006,1.0548429867092,1.30167020089379,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00291839384843311
26,"serology","2012",90.3549177,23.8008764,"Bangladesh","BGD",20,3,0.013636394,1.78330458349929,1.42672911831265,1.73202052740363,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.0209426132474696
27,"serology","2014-2016",89.84156,23.519344,"Bangladesh","BGD",20,3,0.004949919,1.21063898562504,1.14609064346308,1.3824874206955,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00760202728252803
28,"serology","2014-2016",89.91429333,24.23648333,"Bangladesh","BGD",20,3,0.001754079,1.06021192039441,1.05056865465633,1.29884121108071,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00269389386244694
29,"serology","2014-2016",90.40344167,23.70024167,"Bangladesh","BGD",20,3,0.006458165,1.29537752949081,1.19265681454798,1.43367204614887,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00991837371986646
30,"serology","2014-2016",90.77405,24.99593667,"Bangladesh","BGD",20,3,0.001070406,1.03445563448292,1.03070013783729,1.28730124871074,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00164391692376819
31,"serology","2014-2016",90.05272,23.40852833,"Bangladesh","BGD",20,3,0.008938815,1.44982493905914,1.27126041092378,1.52843158437551,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.0137281267639876
32,"serology","2014-2016",90.32598167,23.22770833,"Bangladesh","BGD",20,3,0.002683207,1.09923070563498,1.07789277325257,1.31872502001071,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00412083769828763
33,"serology","2014-2016",90.58979667,24.40633167,"Bangladesh","BGD",20,3,0.000436661,1.01311706307586,1.01246350772098,1.27943084492644,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.000670618819260674
34,"serology","2014-2016",90.45772333,23.688015,"Bangladesh","BGD",20,3,0.004432751,1.18341132962627,1.13034053926558,1.36636770931883,11.91821828,14867.12124,144.2735175,51.17496502,10218.07389,2057.029627,-73.77722255,-10.29285012,0.267354926,-1154.64035,-1124.12655,383.6085988,0.6922824,4.094817261,-354.7364472,125.4887683,-655.2006595,-10.16792872,0.915763727,-738.638357,-67.0580948,-214.8239104,-3.864558455,-1.718439513,-100.5496934,-186.8843156,73.5294986,68741.4723,23.05337728,37094977,31247.9173861781,7.08012613964908,0.0186037555360925,27.947300747256,19.2194534860762,0.00680776676116386
