ISO_alpha,ID_0,Reference_date,band_0_4,band_5_9,band_10_14,band_15_19,band_20_24,band_25_29,band_30_34,band_35_39,band_40_44,band_45_49,band_50_54,band_55_59,band_60_64,band_65_69,band_70_74,band_75_79,band_80_84,band_85_89,band_90_94,band_95_99,Births,Crude_birth_rate,birth_rate,mean_age,sd_age
AFG,1,2015,0.152185944,0.150740946,0.137490008,0.117844186,0.093832626,0.075631802,0.063395437,0.051435774,0.040336961,0.03197442,0.025302835,0.019861034,0.015280084,0.011559983,0.006948288,0.003812335,0.001690955,0.000553403,0.000122979,0,1192000,0.0348,0.036647605,21.40954928,17.31907502
ALB,4,2015,0.063925363,0.053559088,0.06772633,0.089149965,0.09398756,0.079820318,0.060124395,0.053213545,0.059778853,0.064270905,0.070836213,0.065998618,0.05390463,0.040774015,0.03317208,0.02626123,0.014858328,0.006565308,0.001727713,0.000345543,35000,0.0122,0.012093988,36.39011748,22.15925706
DZA,5,2015,0.115719148,0.096230934,0.073440061,0.075885541,0.090381949,0.094768688,0.090306315,0.076793143,0.062145468,0.052867768,0.044951469,0.036455313,0.030681961,0.020143704,0.015353586,0.011849237,0.007538132,0.003327871,0.000958023,0.000201689,1014000,0.0255,0.025564099,29.15013236,20.22092213
AGO,8,2015,0.188554072,0.15726161,0.130724962,0.107265606,0.08752298,0.071976661,0.058948126,0.047837903,0.037686836,0.030013588,0.024338582,0.019582767,0.015186636,0.009831348,0.006754056,0.003956518,0.001838382,0.000599472,0.000119894,0,1187000,0.0425,0.047438254,20.37582927,17.46154149
ATG,11,2015,0.076923077,0.076923077,0.087912088,0.087912088,0.087912088,0.076923077,0.065934066,0.054945055,0.076923077,0.087912088,0.065934066,0.054945055,0.032967033,0.021978022,0.021978022,0.010989011,0.010989011,0,0,0,1000,0.0159,0.010989011,32.16483516,20.3465923
ARG,12,2015,0.085648468,0.083805575,0.082515549,0.079198341,0.079636029,0.076848652,0.073462336,0.074222529,0.062036397,0.054365354,0.050518314,0.046786455,0.041810643,0.03485372,0.027021424,0.02013361,0.014213315,0.008477309,0.003524534,0.000921447,756000,0.0175,0.017415342,33.21285418,22.37254629
ARM,13,2015,0.068588469,0.062624254,0.052683897,0.059310802,0.085155732,0.093770709,0.083830351,0.066931743,0.056328694,0.05666004,0.077866137,0.072895958,0.055003313,0.031809145,0.016898608,0.030815109,0.018223989,0.007620941,0.002650762,0.000331345,43000,0.0148,0.014247846,36.57753479,21.89563743
ABW,14,2015,0.048076923,0.067307692,0.067307692,0.076923077,0.067307692,0.048076923,0.057692308,0.067307692,0.076923077,0.076923077,0.086538462,0.076923077,0.067307692,0.048076923,0.028846154,0.019230769,0.009615385,0.009615385,0,0,1000,0.0113,0.009615385,38.10576923,21.6168196
AUS,15,2015,0.064508053,0.06354836,0.058958525,0.062046232,0.070099307,0.074856046,0.074146708,0.064257698,0.071351081,0.064299424,0.067095051,0.061044813,0.053450722,0.049653676,0.035592089,0.026412418,0.019402487,0.012559459,0.005549528,0.001168322,315000,0.0132,0.01314362,38.18167404,22.91209084
AUT,16,2015,0.047301253,0.046481677,0.048354994,0.053857862,0.063341529,0.064980681,0.06743941,0.063224447,0.070951879,0.083245522,0.080786793,0.068727315,0.053974944,0.050462475,0.049994146,0.036646763,0.024704367,0.016976935,0.007493268,0.001053741,84000,0.0097,0.009834914,42.0152207,22.85934866
AZE,17,2015,0.095355275,0.063467651,0.060391674,0.072387983,0.093202092,0.098636317,0.08951092,0.06541577,0.065620835,0.063570184,0.077514611,0.054444786,0.044191531,0.013534297,0.014149492,0.015995078,0.008612735,0.003178509,0.000717728,0.000102533,178000,0.0185,0.018250795,32.42243412,20.26371702
BHS,18,2015,0.074550129,0.06940874,0.064267352,0.079691517,0.087403599,0.084832905,0.082262211,0.06940874,0.074550129,0.066838046,0.066838046,0.053984576,0.043701799,0.030848329,0.020565553,0.015424165,0.007712082,0.005141388,0.002570694,0,5000,0.0142,0.01285347,33.76092545,20.78280175
BHR,19,2015,0.079215116,0.072674419,0.063226744,0.064680233,0.087209302,0.125726744,0.126453488,0.096656977,0.088662791,0.068313953,0.052325581,0.036337209,0.014534884,0.010174419,0.006540698,0.004360465,0.002180233,0.000726744,0,0,21000,0.0151,0.015261628,29.81976744,16.9249219
